"replicate","arm","log_rmse"
1,"gaussian",0.126372223374996
1,"flexible",0.144745578263301
2,"gaussian",0.398308384549194
2,"flexible",0.0188059586922866
3,"gaussian",0.488627933977398
3,"flexible",0.0316076740993768
4,"gaussian",0.369618675922944
4,"flexible",0.0228620851408485
5,"gaussian",0.321466081299544
5,"flexible",0.0359626909934098
6,"gaussian",0.210605199414258
6,"flexible",0.125964499126168
7,"gaussian",0.568532745445739
7,"flexible",0.0789337601737516
8,"gaussian",0.552544115267075
8,"flexible",0.150430204230616
9,"gaussian",0.538068513199885
9,"flexible",0.133805118387391
10,"gaussian",0.284000983964104
10,"flexible",0.117754753474846
11,"gaussian",0.193465899186698
11,"flexible",0.111372941981762
12,"gaussian",0.110752278293229
12,"flexible",0.122577922968747
13,"gaussian",0.511920545996806
13,"flexible",0.0764659026379686
14,"gaussian",0.647815836857466
14,"flexible",0.202172362498134
15,"gaussian",0.203799610104325
15,"flexible",0.0600186549412488
16,"gaussian",0.21283447298705
16,"flexible",0.0678827215596972
17,"gaussian",0.427278573251528
17,"flexible",0.0446780484466717
18,"gaussian",0.486073681956536
18,"flexible",0.0559074853501541
19,"gaussian",0.671246293599958
19,"flexible",0.160503244420625
20,"gaussian",0.549673616105374
20,"flexible",0.151617952250488
21,"gaussian",0.323485987737163
21,"flexible",0.0630950771830556
22,"gaussian",0.248415063129
22,"flexible",0.0929410927415131
23,"gaussian",0.2292152305761
23,"flexible",0.0711456696543005
24,"gaussian",0.411895046150238
24,"flexible",0.088781823492679
25,"gaussian",0.147159734289937
25,"flexible",0.122170461477842
26,"gaussian",0.630570648451673
26,"flexible",0.245784274977162
27,"gaussian",0.736656540098194
27,"flexible",0.232413321657879
28,"gaussian",0.249740468188554
28,"flexible",0.108693692094185
29,"gaussian",0.326915264253056
29,"flexible",0.0464291767646097
30,"gaussian",0.385336603623993
30,"flexible",0.020053878328521
31,"gaussian",0.509207281111876
31,"flexible",0.0504515782828388
32,"gaussian",0.371651462789506
32,"flexible",0.0798867874379357
33,"gaussian",0.386115854560685
33,"flexible",0.0523705670997646
34,"gaussian",0.256291209160903
34,"flexible",0.0757207041098294
35,"gaussian",0.27837843703286
35,"flexible",0.074381039331516
36,"gaussian",0.232174364253883
36,"flexible",0.166997663808959
37,"gaussian",0.244472966677983
37,"flexible",0.142255594745192
38,"gaussian",0.260302021598725
38,"flexible",0.0735290461000633
39,"gaussian",0.284857697008056
39,"flexible",0.0857105803157354
40,"gaussian",0.114345617380899
40,"flexible",0.186585010091534
41,"gaussian",0.0951370274476194
41,"flexible",0.21056214877277
42,"gaussian",0.0754031897042657
42,"flexible",0.151967622625227
43,"gaussian",0.355327976689164
43,"flexible",0.0576451501075865
44,"gaussian",0.282234074182103
44,"flexible",0.112573918445025
45,"gaussian",0.549491095821558
45,"flexible",0.0856038245504017
46,"gaussian",0.494700070511328
46,"flexible",0.0576622232275497
47,"gaussian",0.193970642330773
47,"flexible",0.123670393465186
48,"gaussian",0.505667853761594
48,"flexible",0.0805795997504433
49,"gaussian",0.158579081613435
49,"flexible",0.126700401299307
50,"gaussian",0.317629930798316
50,"flexible",0.0479005502626949
