"replicate","log_rmse.gaussian","log_rmse.flexible","reduction_percent","difference"
1,0.126372223374996,0.144745578263301,-14.5390770199437,-0.0183733548883059
2,0.398308384549194,0.0188059586922866,95.2785431033366,0.379502425856907
3,0.488627933977398,0.0316076740993768,93.5313411490636,0.457020259878021
4,0.369618675922944,0.0228620851408485,93.8146834480802,0.346756590782096
5,0.321466081299544,0.0359626909934098,88.8129127502259,0.285503390306134
6,0.210605199414258,0.125964499126168,40.189273827757,0.0846407002880897
7,0.568532745445739,0.0789337601737516,86.1162332678189,0.489598985271987
8,0.552544115267075,0.150430204230616,72.7749875396095,0.402113911036459
9,0.538068513199885,0.133805118387391,75.1323269983494,0.404263394812494
10,0.284000983964104,0.117754753474846,58.5372022902113,0.166246230489258
11,0.193465899186698,0.111372941981762,42.4327788773334,0.0820929572049364
12,0.110752278293229,0.122577922968747,-10.6775633492688,-0.011825644675518
13,0.511920545996806,0.0764659026379686,85.0629354035644,0.435454643358837
14,0.647815836857466,0.202172362498134,68.7916918674194,0.445643474359333
15,0.203799610104325,0.0600186549412488,70.5501620388158,0.143780955163076
16,0.21283447298705,0.0678827215596972,68.1053916656502,0.144951751427353
17,0.427278573251528,0.0446780484466717,89.5435785355024,0.382600524804856
18,0.486073681956536,0.0559074853501541,88.4981459754998,0.430166196606382
19,0.671246293599958,0.160503244420625,76.0887701055554,0.510743049179333
20,0.549673616105374,0.151617952250488,72.4167309821503,0.398055663854886
21,0.323485987737163,0.0630950771830556,80.4952673145394,0.260390910554107
22,0.248415063129,0.0929410927415131,62.5863699363314,0.155473970387487
23,0.2292152305761,0.0711456696543005,68.9611944740819,0.158069560921799
24,0.411895046150238,0.088781823492679,78.4455228771321,0.323113222657559
25,0.147159734289937,0.122170461477842,16.9810532294527,0.0249892728120954
26,0.630570648451673,0.245784274977162,61.0219290129234,0.384786373474511
27,0.736656540098194,0.232413321657879,68.4502466201008,0.504243218440315
28,0.249740468188554,0.108693692094185,56.4773411043175,0.141046776094369
29,0.326915264253056,0.0464291767646097,85.7977947677995,0.280486087488446
30,0.385336603623993,0.020053878328521,94.7957504841431,0.365282725295472
31,0.509207281111876,0.0504515782828388,90.0921333699951,0.458755702829037
32,0.371651462789506,0.0798867874379357,78.5049177962791,0.291764675351571
33,0.386115854560685,0.0523705670997646,86.4365665172307,0.33374528746092
34,0.256291209160903,0.0757207041098294,70.4552082150071,0.180570505051073
35,0.27837843703286,0.074381039331516,73.2806031514804,0.203997397701344
36,0.232174364253883,0.166997663808959,28.0723070586954,0.0651767004449241
37,0.244472966677983,0.142255594745192,41.8113189862134,0.102217371932791
38,0.260302021598725,0.0735290461000633,71.752410661868,0.186772975498661
39,0.284857697008056,0.0857105803157354,69.9110885133248,0.199147116692321
40,0.114345617380899,0.186585010091534,-63.1763546039517,-0.0722393927106348
41,0.0951370274476194,0.21056214877277,-121.325129049992,-0.115425121325151
42,0.0754031897042657,0.151967622625227,-101.540045217251,-0.0765644329209611
43,0.355327976689164,0.0576451501075865,83.7769176959534,0.297682826581577
44,0.282234074182103,0.112573918445025,60.113278748763,0.169660155737078
45,0.549491095821558,0.0856038245504017,84.4212535559993,0.463887271271157
46,0.494700070511328,0.0576622232275497,88.344003434657,0.437037847283778
47,0.193970642330773,0.123670393465186,36.2427262295218,0.070300248865587
48,0.505667853761594,0.0805795997504433,84.0647177488103,0.42508825401115
49,0.158579081613435,0.126700401299307,20.1027020649785,0.0318786803141281
50,0.317629930798316,0.0479005502626949,84.9193839691669,0.269729380535621
